predictday,noaaID,Class,CV_average,NOAA_NUMS,MPlus,y_true
20220219,12950,N,0.031,1,0.0,0
20220224,12955,N,0.404,1,0.0109,0
20220226,12955,N,0.286,2,0.001,0
20220227,12955,N,0.2,2,0.0,0
20220303,12958,C,0.313,1,0.00383,0
20220311,12965,C,0.749,1,0.135,0
20220312,12965,C,0.735,1,0.078,0
20220313,12965,N,0.693,1,0.1435,0
20220317,12967,N,0.013,1,0.0,0
20220317,12965,C,0.501,1,0.0445,0
20220318,12965,N,0.495,1,0.0345,0
20220319,12965,C,0.548,1,0.0265,0
20220319,12967,N,0.015,1,0.0032,0
20220322,12972,C,0.05,1,0.0,0
20220326,12974,N,0.192,1,0.002,0
20220327,12975,C,0.933,2,0.1175,0
20220331,12978,C,0.85,1,0.1435,0
20220331,12980,N,0.014,1,0.0055,0
20220404,12983,N,0.221,1,0.001,0
20220406,12985,N,0.174,1,0.0005,0
20220407,12985,C,0.028,1,0.00033,0
20220409,12985,N,0.028,1,0.00176,0
20220410,12985,N,0.035,1,0.00183,0
20220419,12994,M,0.868,2,0.1552,1
20220419,12990,N,0.146,1,0.002,0
20220423,12996,N,0.723,2,0.0217,0
20220423,12991,N,0.04,1,0.001,0
20220501,13001,N,0.388,1,0.00133,0
20220502,13001,N,0.187,1,0.00113,0
20220507,13006,C,0.588,1,0.04556,0
20220508,13006,N,0.827,1,0.03956,0
20220511,13007,M,0.693,1,0.07926,1
20220512,13007,C,0.752,1,0.193,0
20220522,13019,C,0.384,1,0.0051,0
20220523,13019,C,0.341,1,0.004,0
20220528,13024,N,0.217,1,0.003,0
20220529,13024,N,0.128,1,0.002,0
20220601,13024,N,0.055,1,0.002,0
20220604,13027,N,0.038,1,0.01056,0
20220607,13029,N,0.018,1,0.0032,0
20220608,13029,N,0.025,1,0.0032,0
20220610,13029,N,0.24,1,0.0,0
20220619,13038,C,0.476,1,0.0085,0
20220620,13038,C,0.687,1,0.10326,0
20220621,13038,C,0.744,1,0.15893,0
20220705,13046,N,0.271,1,0.001,0
20220710,13055,C,0.857,1,0.087,0
20220714,13057,C,0.844,1,0.051,0
20220724,13065,N,0.027,1,0.00176,0
20220725,13065,N,0.023,1,0.00243,0
20220816,13081,N,0.256,1,0.0317,0
20220821,13084,N,0.144,1,0.0025,0
20220826,13087,N,0.08,1,0.0635,0
20220828,13089,N,0.725,1,0.1437,0
20220829,13089,N,0.723,1,0.1742,0
20220830,13089,C,0.801,1,0.24083,0
20220831,13089,C,0.837,1,0.126,0
20220901,13089,C,0.819,1,0.156,0
20220901,13090,N,0.014,1,0.0032,0
20220905,13094,N,0.464,1,0.01156,0
20220906,13094,C,0.363,1,0.0035,0
20220911,13096,N,0.141,1,0.0,0
20220913,13100,N,0.734,1,0.018,0
20220918,13103,N,0.024,1,0.00183,0
20220919,13102,C,0.858,1,0.11053,0
20220920,13102,M,0.786,1,0.04149,1
20220927,13110,N,0.425,1,0.00699,0
20220928,13110,N,0.105,1,0.0,0
20220930,13111,C,0.182,1,0.00233,0
20221001,13111,C,0.219,1,0.0045,0
20221003,13112,M,0.864,1,0.598,1
20221010,13119,C,0.212,1,0.06,0
20221011,13119,C,0.408,1,0.052,0
20221012,13119,N,0.455,1,0.0184,0
20221014,13119,N,0.632,1,0.02049,0
20221023,13127,N,0.041,1,0.0,0
20221031,13135,C,0.804,1,0.06416,0
20221101,13135,N,0.69,1,0.0,0
20221103,13137,N,0.363,2,0.0,0
20221103,13136,C,0.052,1,0.002,0
20221108,13141,C,0.773,1,0.213,0
20221109,13142,N,0.074,2,0.0005,0
20221110,13141,C,0.843,2,0.11299,0
20221116,13146,N,0.022,1,0.0053,0
20221122,13147,C,0.293,1,0.0055,0
20221123,13151,C,0.735,2,0.0,0
20221127,13149,N,0.478,1,0.008,0
20221128,13152,N,0.062,1,0.00496,0
20221129,13152,C,0.126,1,0.0055,0
20221130,13152,N,0.415,1,0.00776,0
20221201,13152,M,0.126,1,0.00349,1
20221218,13168,N,0.323,1,0.0035,0
20221220,13170,C,0.445,1,0.0065,0
20221221,13170,C,0.249,1,0.007,0
20221221,13171,C,0.89,2,0.0217,0
20221222,13170,C,0.289,1,0.002,0
20221225,13173,N,0.279,1,0.003,0
20221229,13176,N,0.751,1,0.0935,0
20230102,13180,C,0.676,1,0.053,0
20230104,13181,N,0.404,1,0.00366,0
20230107,13183,C,0.332,2,0.0672,0
20230108,13183,N,0.602,2,0.0293,0
20230113,13184,N,0.869,1,0.0645,0
20230116,13190,C,0.873,1,0.11299,0
20230118,13194,N,0.165,2,0.001,0
20230212,13216,N,0.478,2,0.0105,0
20230216,13225,N,0.02,1,0.0,0
20230216,13227,N,0.017,1,0.0032,0
20230217,13226,C,0.624,3,0.059,0
20230219,13229,C,0.948,1,0.087,0
20230223,13234,M,0.923,1,0.2625,1
20230225,13236,M,0.8,2,0.0625,1
20230226,13236,N,0.932,2,0.0675,0
20230228,13230,C,0.331,2,0.032,0
20230306,13245,C,0.826,1,0.025,0
20230312,13251,N,0.139,1,0.0015,0
20230313,13251,N,0.07,1,0.0,0
20230314,13252,N,0.016,1,0.0,0
20230325,13262,N,0.411,1,0.0135,0
20230401,13266,N,0.018,1,0.0055,0
20230401,13264,N,0.024,1,0.0,0
20230405,13270,N,0.663,2,0.0685,0
20230407,13270,C,0.81,2,0.033,0
20230409,13272,C,0.808,1,0.1572,0
20230421,13283,M,0.389,4,0.0045,1
20230424,13285,C,0.485,1,0.03456,0
20230429,13291,N,0.052,1,0.0,0
20230430,13292,N,0.808,2,0.0,0
20230430,13291,N,0.049,1,0.002,0
20230507,13299,N,0.619,1,0.0119,0
20230508,13299,N,0.201,1,0.00723,0
20230509,13299,C,0.051,1,0.00183,0
20230523,13311,M,0.728,3,0.008,1
20230526,13315,M,0.906,1,0.09616,1
20230527,13315,C,0.939,1,0.1205,0
20230529,13316,N,0.048,1,0.00243,0
20230530,13316,N,0.03,1,0.0,0
20230603,13323,C,0.822,1,0.0908,0
20230605,13326,N,0.173,1,0.0,0
20230607,13327,M,0.715,1,0.152,1
20230610,13331,N,0.377,1,0.019,0
20230611,13331,C,0.232,1,0.017,0
20230611,13332,N,0.015,1,0.0,0
20230612,13331,C,0.109,1,0.0135,0
20230612,13332,N,0.015,1,0.0032,0
20230617,13334,N,0.034,1,0.0,0
20230618,13338,N,0.608,2,0.0333,0
20230623,13345,N,0.047,1,0.0,0
20230624,13345,N,0.022,1,0.00363,0
20230626,13351,C,0.095,1,0.002,0
20230627,13351,C,0.446,1,0.0,0
20230627,13348,N,0.021,1,0.001,0
20230630,13355,N,0.049,1,0.00066,0
20230701,13355,N,0.032,1,0.0034,0
20230701,13354,C,0.956,2,0.217,0
20230705,13360,C,0.35,1,0.0,0
20230712,13367,N,0.771,1,0.047,0
20230714,13372,C,0.894,1,0.22413,0
20230715,13372,M,0.92,1,0.0317,1
20230717,13374,N,0.079,1,0.0,0
20230718,13374,N,0.028,1,0.0,0
20230722,13379,N,0.728,1,0.034,0
20230812,13397,C,0.133,1,0.0025,0
20230812,13399,N,0.026,1,0.0055,0
20230821,13412,N,0.107,1,0.003,0
20230822,13412,N,0.081,1,0.0,0
20230825,13415,M,0.563,1,0.10816,1
20230826,13415,N,0.531,1,0.08736,0
20230828,13416,C,0.178,1,0.00366,0
20230829,13416,N,0.183,1,0.0,0
20230831,13417,N,0.805,1,0.0217,0
20230902,13418,N,0.073,1,0.0,0
20230903,13418,N,0.028,1,0.0,0
20230905,13421,M,0.383,2,0.0055,1
20230909,13425,C,0.571,2,0.0317,0
20230909,13423,C,0.403,1,0.0345,0
20230910,13425,C,0.596,2,0.0838,0
20230915,13433,C,0.213,1,0.00233,0
20230916,13430,N,0.208,1,0.0055,0
20230916,13433,N,0.221,1,0.0,0
20230917,13433,N,0.071,1,0.0,0
20230917,13434,N,0.888,2,0.0,0
20230921,13440,N,0.239,1,0.003,0
20230923,13444,N,0.049,2,0.0055,0
20230925,13446,N,0.015,1,0.0032,0
20230926,13445,C,0.458,2,0.0838,0
20230930,13450,C,0.802,1,0.0716,0
20231001,13450,C,0.898,1,0.1096,0
20231013,13466,C,0.074,3,0.00243,0
20231014,13466,N,0.099,3,0.00789,0
20231015,13466,N,0.072,3,0.0217,0
20231015,13460,N,0.388,2,0.0225,0
