predictday,noaaID,Class,CV_average,NOAA_NUMS,MPlus,y_true
20230120,13186,N,0.811,1,0.2542999999999999,0
20230120,13190,C,0.786,1,0.0781,0
20230121,13190,C,0.792,1,0.2368,0
20230121,13196,N,0.028,1,0.0613999999999999,0
20230122,13196,N,0.016,1,0.0751999999999999,0
20230122,13190,C,0.872,1,0.0029,0
20230123,13199,C,0.667,1,0.0015,0
20230123,13196,N,0.031,1,0.176,0
20230123,13190,C,0.947,1,0.9969,0
20230124,13199,N,0.583,1,0.0034,0
20230124,13190,C,0.957,1,0.1495,0
20230125,13200,N,0.385,1,0.2512,0
20230125,13199,N,0.6,1,0.0044,0
20230210,13214,C,0.158,1,0.0034,0
20230211,13214,C,0.2,1,0.2682,0
20230212,13218,N,0.023,1,0.0084,0
20230212,13214,C,0.413,1,0.089,0
20230212,13221,N,0.584,1,0.1007,0
20230213,13214,N,0.42,1,0.0016,0
20230214,13214,N,0.477,1,0.0081,0
20230215,13225,N,0.087,1,0.1489,0
20230216,13225,N,0.02,1,0.0023,0
20230216,13227,N,0.017,1,0.1429,0
20230217,13225,N,0.023,1,0.0116,0
20230218,13225,N,0.327,1,0.1541,0
20230219,13229,C,0.948,1,0.0017,0
20230220,13229,C,0.954,1,0.0012,0
20230221,13230,N,0.36,1,0.0009,0
20230221,13229,C,0.954,1,0.0033,0
20230222,13229,N,0.942,1,0.0033,0
20230222,13230,N,0.576,1,0.0009,0
20230223,13234,M,0.923,1,0.6693000000000001,1
20230223,13230,C,0.876,1,0.0126,0
20230223,13229,N,0.815,1,0.9951,0
20230225,13234,C,0.962,1,0.0825,0
20230225,13229,M,0.438,1,0.9925,1
20230226,13235,C,0.428,1,0.7409,0
20230226,13234,C,0.954,1,0.0109,0
20230226,13229,N,0.51,1,0.9931,0
20230228,13235,N,0.032,1,0.0086,0
20230228,13234,M,0.955,1,0.0062,1
20230228,13237,N,0.016,1,0.0034,0
20230301,13234,M,0.961,1,0.6920999999999999,1
20230302,13238,N,0.149,1,0.0033,0
20230302,13234,M,0.944,1,0.0065,1
20230303,13238,N,0.038,1,0.0475,0
20230303,13239,N,0.329,1,0.0017,0
20230304,13238,N,0.037,1,0.0401,0
20230304,13239,N,0.299,1,0.0129,0
20230304,13240,N,0.167,1,0.0101,0
20230304,13241,N,0.372,1,0.0015,0
20230305,13238,C,0.063,1,0.002,0
20230305,13239,N,0.275,1,0.0038,0
20230305,13241,N,0.367,1,0.0171,0
20230305,13240,N,0.062,1,0.0021,0
20230306,13242,N,0.907,1,0.7639,0
20230306,13245,C,0.826,1,0.2771,0
20230306,13244,N,0.352,1,0.0103,0
20230306,13240,N,0.07,1,0.052,0
20230306,13238,N,0.081,1,0.9957,0
20230307,13245,C,0.89,1,0.0025,0
20230307,13244,N,0.315,1,0.0011,0
20230307,13242,N,0.94,1,0.6507,0
20230307,13240,N,0.081,1,0.0856,0
20230307,13238,N,0.054,1,0.2845,0
20230308,13242,M,0.924,1,0.0033,1
20230308,13240,N,0.037,1,0.0530999999999999,0
20230308,13238,N,0.026,1,0.0081,0
20230308,13245,M,0.951,1,0.2618,1
20230308,13246,N,0.206,1,0.0007,0
20230309,13242,C,0.77,1,0.0036,0
20230309,13245,C,0.951,1,0.0037,0
20230309,13238,N,0.026,1,0.0899,0
20230309,13246,N,0.168,1,0.0018,0
20230309,13247,N,0.454,1,0.113,0
20230310,13249,N,0.101,1,0.0115,0
20230310,13242,C,0.396,1,0.0381,0
20230310,13246,N,0.109,1,0.0049,0
20230310,13245,C,0.869,1,0.2952,0
20230310,13247,C,0.425,1,0.0076,0
20230311,13245,C,0.701,1,0.2238,0
20230311,13242,N,0.32,1,0.2484,0
20230311,13249,N,0.046,1,0.1023,0
20230311,13246,N,0.074,1,0.0023,0
20230312,13242,N,0.352,1,0.0022,0
20230312,13251,N,0.139,1,0.0111,0
20230312,13245,C,0.691,1,0.0758,0
20230312,13246,N,0.025,1,0.0034999999999999,0
20230313,13245,N,0.724,1,0.2219,0
20230313,13251,N,0.07,1,0.0033,0
20230313,13246,N,0.025,1,0.0062,0
20230314,13245,N,0.837,1,0.0935,0
20230314,13252,N,0.016,1,0.0064,0
20230314,13251,N,0.026,1,0.0996,0
20230315,13251,N,0.028,1,0.0742999999999999,0
20230315,13252,N,0.021,1,0.0042,0
20230318,13252,N,0.014,1,0.0276,0
20230318,13251,N,0.021,1,0.0405,0
20230319,13251,N,0.042,1,0.0168,0
20230324,13260,C,0.676,1,0.0311,0
20230325,13260,N,0.917,1,0.0175,0
20230325,13262,N,0.411,1,0.0018,0
20230326,13262,C,0.284,1,0.0311,0
20230326,13258,N,0.575,1,0.1334,0
20230326,13260,N,0.662,1,0.0034,0
20230329,13262,N,0.039,1,0.2582,0
20230329,13264,N,0.055,1,0.021,0
20230330,13262,C,0.057,1,0.111,0
20230330,13264,N,0.022,1,0.1751,0
20230331,13262,N,0.1,1,0.005,0
20230331,13264,N,0.018,1,0.1,0
20230401,13262,C,0.234,1,0.0409,0
20230401,13266,N,0.018,1,0.0487999999999999,0
20230401,13264,N,0.024,1,0.0085,0
20230403,13264,N,0.198,1,0.0017,0
20230404,13264,N,0.14,1,0.0013,0
20230409,13272,C,0.808,1,0.9918,0
20230410,13272,C,0.677,1,0.2164,0
20230411,13272,M,0.542,1,0.0137,1
20230412,13273,N,0.13,1,0.2048999999999999,0
20230412,13272,N,0.44,1,0.994,0
20230414,13275,N,0.016,1,0.0025,0
20230414,13273,N,0.035,1,0.0045,0
20230414,13272,N,0.296,1,0.1925,0
20230415,13272,C,0.261,1,0.2714,0
20230415,13275,N,0.017,1,0.0115,0
20230415,13273,N,0.046,1,0.0182,0
