T_REC,_modelType,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,CV_average,Class,new_noaaid,predictday
20220218,LSTM,TSS,12946,0.445,0.446,0.478,0.493,0.222,0.424,0.207,0.49,0.468,0.28,12946,0.395,N,12946,20220219
20220218,LSTM,TSS,12948,0.459,0.46,0.483,0.494,0.272,0.438,0.254,0.492,0.476,0.322,12948,0.415,N,12948,20220219
20220218,LSTM,TSS,12950,0.438,0.44,0.475,0.492,0.201,0.417,0.19,0.489,0.463,0.263,12950,0.386,N,12950,20220219
20220219,LSTM,TSS,12948,0.446,0.448,0.478,0.493,0.214,0.42,0.197,0.49,0.468,0.283,12948,0.393,N,12948,20220220
20220219,LSTM,TSS,12946,0.437,0.439,0.475,0.492,0.193,0.415,0.181,0.489,0.463,0.26,12946,0.384,N,12946,20220220
20220220,LSTM,TSS,12952,0.436,0.438,0.474,0.492,0.18,0.406,0.164,0.488,0.462,0.253,12952,0.379,N,12952,20220221
20220220,LSTM,TSS,12948,0.443,0.445,0.477,0.493,0.206,0.42,0.191,0.49,0.467,0.274,12948,0.39,N,12948,20220221
20220221,LSTM,TSS,12953,0.442,0.444,0.477,0.493,0.204,0.419,0.19,0.489,0.466,0.269,12953,0.389,N,12953,20220222
20220221,LSTM,TSS,12952,0.433,0.435,0.473,0.492,0.178,0.404,0.162,0.488,0.46,0.249,12952,0.377,N,12952,20220222
20220222,LSTM,TSS,12954,0.462,0.463,0.484,0.495,0.294,0.444,0.276,0.492,0.478,0.333,12954,0.422,N,12954,20220223
20220222,LSTM,TSS,12953,0.453,0.454,0.481,0.494,0.254,0.433,0.238,0.49,0.472,0.303,12953,0.407,N,12953,20220223
20220223,LSTM,TSS,12954,0.464,0.465,0.485,0.495,0.308,0.451,0.299,0.492,0.479,0.344,12954,0.428,N,12954,20220224
20220223,LSTM,TSS,12955,0.468,0.469,0.487,0.495,0.328,0.456,0.317,0.493,0.482,0.358,12955,0.435,N,12955,20220224
20220223,LSTM,TSS,12953,0.444,0.445,0.477,0.493,0.217,0.423,0.203,0.489,0.467,0.278,12953,0.393,N,12953,20220224
20220225,LSTM,TSS,"12954,12955",0.484,0.485,0.494,0.497,0.405,0.479,0.395,0.496,0.491,0.427,12954,0.465,N,12955,20220226
20220226,LSTM,TSS,"12954,12955",0.487,0.488,0.495,0.497,0.421,0.481,0.412,0.496,0.493,0.441,12955,0.471,N,12955,20220227
20220227,LSTM,TSS,"12954,12955",0.484,0.485,0.494,0.497,0.4,0.476,0.389,0.496,0.491,0.426,12954,0.463,N,12955,20220228
20220228,LSTM,TSS,"12954,12955,12956",0.487,0.488,0.495,0.497,0.422,0.482,0.411,0.496,0.493,0.439,12954,0.471,N,12956,20220301
20220301,LSTM,TSS,12957,0.475,0.475,0.49,0.496,0.369,0.472,0.369,0.494,0.486,0.391,12957,0.451,C,12957,20220302
20220301,LSTM,TSS,"12954,12955,12956",0.486,0.487,0.494,0.497,0.428,0.482,0.418,0.496,0.493,0.44,12956,0.472,N,12956,20220302
20220302,LSTM,TSS,12958,0.459,0.459,0.483,0.494,0.276,0.447,0.271,0.492,0.476,0.323,12958,0.418,C,12958,20220303
20220302,LSTM,TSS,"12954,12955,12956",0.479,0.48,0.491,0.496,0.389,0.472,0.378,0.495,0.489,0.407,12956,0.457,N,12956,20220303
20220302,LSTM,TSS,12957,0.489,0.49,0.495,0.497,0.44,0.486,0.428,0.496,0.494,0.45,12957,0.476,N,12957,20220303
20220303,LSTM,TSS,"12954,12955,12956",0.475,0.475,0.489,0.496,0.363,0.464,0.352,0.494,0.486,0.384,12955,0.447,N,12956,20220304
20220303,LSTM,TSS,12958,0.46,0.46,0.484,0.494,0.289,0.448,0.282,0.492,0.477,0.328,12958,0.421,N,12958,20220304
20220303,LSTM,TSS,12957,0.494,0.495,0.497,0.498,0.459,0.489,0.443,0.497,0.497,0.472,12957,0.484,N,12957,20220304
20220305,LSTM,TSS,"12957,12961",0.522,0.52,0.507,0.5,0.61,0.531,0.591,0.501,0.512,0.587,12961,0.538,C,12957,20220306
20220305,LSTM,TSS,12958,0.446,0.447,0.478,0.493,0.226,0.427,0.214,0.49,0.468,0.284,12958,0.397,N,12958,20220306
20220305,LSTM,TSS,12960,0.528,0.527,0.509,0.5,0.645,0.541,0.623,0.501,0.516,0.622,12960,0.551,N,12960,20220306
20220306,LSTM,TSS,12960,0.524,0.524,0.508,0.5,0.625,0.532,0.6,0.501,0.514,0.608,12960,0.543,N,12960,20220307
20220306,LSTM,TSS,"12957,12961",0.499,0.498,0.499,0.498,0.5,0.501,0.489,0.498,0.499,0.496,12961,0.497,C,12961,20220307
20220306,LSTM,TSS,12958,0.439,0.44,0.475,0.493,0.196,0.417,0.184,0.489,0.464,0.263,12958,0.386,N,12958,20220307
20220307,LSTM,TSS,12962,0.471,0.472,0.489,0.496,0.351,0.468,0.354,0.494,0.484,0.383,12962,0.446,N,12962,20220308
