T_REC,_modelType,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,CV_average,Class,new_noaaid,predictday
20220218,Transformer,TSS,12946,0.157,0.124,0.209,0.155,0.269,0.206,0.177,0.235,0.16,0.233,12946,0.192,N,12946,20220219
20220218,Transformer,TSS,12948,0.14,0.116,0.172,0.147,0.226,0.139,0.169,0.205,0.114,0.228,12948,0.165,N,12948,20220219
20220218,Transformer,TSS,12950,0.115,0.077,0.152,0.097,0.232,0.152,0.134,0.198,0.122,0.192,12950,0.147,N,12950,20220219
20220219,Transformer,TSS,12948,0.036,0.022,0.04,0.02,0.097,0.026,0.04,0.089,0.022,0.095,12948,0.048,N,12948,20220220
20220219,Transformer,TSS,12946,0.087,0.061,0.113,0.062,0.193,0.112,0.097,0.162,0.084,0.157,12946,0.112,N,12946,20220220
20220220,Transformer,TSS,12952,0.031,0.02,0.036,0.018,0.089,0.023,0.036,0.082,0.021,0.084,12952,0.044,N,12952,20220221
20220220,Transformer,TSS,12948,0.077,0.058,0.099,0.053,0.17,0.086,0.087,0.151,0.064,0.151,12948,0.099,N,12948,20220221
20220221,Transformer,TSS,12953,0.117,0.1,0.155,0.1,0.222,0.151,0.135,0.192,0.114,0.195,12953,0.148,N,12953,20220222
20220221,Transformer,TSS,12952,0.027,0.016,0.032,0.016,0.084,0.026,0.033,0.075,0.02,0.071,12952,0.04,N,12952,20220222
20220222,Transformer,TSS,12954,0.251,0.266,0.359,0.341,0.334,0.291,0.337,0.307,0.259,0.324,12954,0.306,N,12954,20220223
20220222,Transformer,TSS,12953,0.189,0.158,0.247,0.212,0.289,0.233,0.221,0.255,0.188,0.265,12953,0.225,N,12953,20220223
20220223,Transformer,TSS,12954,0.321,0.303,0.425,0.408,0.399,0.397,0.39,0.363,0.363,0.375,12954,0.374,N,12954,20220224
20220223,Transformer,TSS,12955,0.344,0.346,0.47,0.464,0.414,0.434,0.424,0.377,0.394,0.394,12955,0.406,N,12955,20220224
20220223,Transformer,TSS,12953,0.147,0.117,0.192,0.133,0.267,0.19,0.171,0.233,0.146,0.235,12953,0.183,N,12953,20220224
20220225,Transformer,TSS,"12954,12955",0.303,0.26,0.378,0.328,0.362,0.298,0.308,0.338,0.28,0.364,12954,0.321,N,12955,20220226
20220226,Transformer,TSS,"12954,12955",0.233,0.171,0.286,0.22,0.305,0.185,0.23,0.29,0.192,0.317,12955,0.242,N,12955,20220227
20220227,Transformer,TSS,"12954,12955",0.228,0.184,0.287,0.225,0.294,0.201,0.233,0.277,0.191,0.307,12954,0.242,N,12955,20220228
20220228,Transformer,TSS,"12954,12955,12956",0.334,0.315,0.418,0.371,0.387,0.336,0.354,0.364,0.31,0.4,12954,0.358,N,12956,20220301
20220301,Transformer,TSS,12957,0.445,0.437,0.503,0.476,0.499,0.524,0.466,0.45,0.482,0.46,12957,0.474,C,12957,20220302
20220301,Transformer,TSS,"12954,12955,12956",0.37,0.363,0.459,0.434,0.419,0.398,0.415,0.389,0.365,0.426,12956,0.403,N,12956,20220302
20220302,Transformer,TSS,12958,0.26,0.214,0.33,0.23,0.36,0.318,0.25,0.313,0.291,0.298,12958,0.286,C,12958,20220303
20220302,Transformer,TSS,"12954,12955,12956",0.383,0.384,0.489,0.469,0.44,0.431,0.444,0.407,0.399,0.436,12956,0.428,N,12956,20220303
20220302,Transformer,TSS,12957,0.471,0.445,0.516,0.549,0.483,0.502,0.483,0.447,0.436,0.514,12957,0.484,N,12957,20220303
20220303,Transformer,TSS,"12954,12955,12956",0.386,0.386,0.507,0.499,0.448,0.437,0.457,0.414,0.42,0.435,12955,0.438,N,12956,20220304
20220303,Transformer,TSS,12958,0.311,0.249,0.387,0.301,0.418,0.36,0.302,0.372,0.334,0.355,12958,0.338,N,12958,20220304
20220303,Transformer,TSS,12957,0.338,0.288,0.376,0.335,0.375,0.285,0.323,0.348,0.252,0.411,12957,0.333,N,12957,20220304
