T_REC,_modelType,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,CV_average,Class,new_noaaid,predictday
20220214,Onefitall_16,TSS,12941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12941,-1,M1.3,12941,20220215
20220214,Onefitall_18,TSS,12941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12941,-1,M1.3,12941,20220215
20220214,LSTM,TSS,12941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12941,-1,M1.3,12941,20220215
20220214,Transformer,TSS,12941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12941,-1,M1.3,12941,20220215
20220214,Onefitall_26,TSS,12941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12941,-1,M1.3,12941,20220215
20220217,Onefitall_16,TSS,12946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12946,-1,N0,12946,20220218
20220217,Onefitall_18,TSS,12946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12946,-1,N0,12946,20220218
20220217,LSTM,TSS,12946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12946,-1,N0,12946,20220218
20220217,Transformer,TSS,12946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12946,-1,N0,12946,20220218
20220217,Onefitall_26,TSS,12946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12946,-1,N0,12946,20220218
20220217,Onefitall_16,TSS,12948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12948,-1,N0,12948,20220218
20220217,Onefitall_18,TSS,12948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12948,-1,N0,12948,20220218
20220217,LSTM,TSS,12948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12948,-1,N0,12948,20220218
20220217,Transformer,TSS,12948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12948,-1,N0,12948,20220218
20220217,Onefitall_26,TSS,12948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12948,-1,N0,12948,20220218
20220217,Onefitall_16,TSS,12943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12943,-1,N0,12943,20220218
20220217,Onefitall_18,TSS,12943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12943,-1,N0,12943,20220218
20220217,LSTM,TSS,12943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12943,-1,N0,12943,20220218
20220217,Transformer,TSS,12943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12943,-1,N0,12943,20220218
20220217,Onefitall_26,TSS,12943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12943,-1,N0,12943,20220218
20220218,Onefitall_16,TSS,12946,0.064,0.038,0.107,0.012,0.059,0.065,0.049,0.084,0.108,0.013,12946,0.059,N0,12946,20220219
20220218,Onefitall_18,TSS,12946,0.203,0.212,0.168,0.184,0.178,0.216,0.181,0.262,0.208,0.236,12946,0.204,N0,12946,20220219
20220218,LSTM,TSS,12946,0.445,0.446,0.478,0.493,0.222,0.424,0.207,0.49,0.468,0.28,12946,0.395,N0,12946,20220219
